6010062;006092307
6000093;006092313
6000001;006080306
6010059;006070001
6000002;006080406
6000003;006080506
6000004;006080606
6000006;006070003
6000007;006080706
6000008;006080806
6000009;006070004
6000010;006070005
6000011;006081006
6000012;006081406
6000013;006070006
9990840;006070008
6000014;006070009
6010003;006070010
6010005;006070011
6000015;006082206
6000016;006070012
6000017;006070013
6010001;006070014
6000018;006082306
6000019;006082406
6000020;006082506
6000021;006082806
6000022;006082906
6010007;006070015
6000090;006092318
6000023;006083006
6000024;006070016
6010012;006070017
6000025;006083106
6000026;006090001
6000027;006070019
6000028;006083306
6010009;006070020
6000095;006092316
6000029;006083506
6010010;006070021
6000030;006070023
6000031;006083606
6000032;006070024
6010011;006070026
6000033;006083906
6000094;006092312
6010017;006070027
6010015;006070028
6000034;006084806
6000035;006070029
6010016;006070030
6000039;006085106
6010064;006092309
6000040;006085006
6010019;006070031
6000041;006070032
6000042;006085606
6000043;006085706
6000044;006085806
6000045;006070033
6000046;006090002
6000047;006086006
6010020;006070035
6000048;006086306
6010058;006090003
6000091;006092314
6010004;006070036
6000049;006070037
6010066;006092310
6010027;006070039
6010026;006070042
6010029;006070044
6010030;006070045
6000050;006092306
6000051;006087006
6000052;006087206
6010032;006070047
6010036;006070048
6010038;006070049
6010040;006070050
6010041;006070051
6000053;006087806
6000054;006087906
7003280;006070085
6010037;006070052
6000055;006088206
6010039;006070086
6010065;006092308
6000057;006070053
6000056;006088606
6000058;006070054
6000059;006070055
6000089;006092317
6000060;006070056
6010060;006070057
6000063;006070058
6000064;006089206
6010063;006092311
6000065;006089306
6000066;006070059
7003300;006070060
7003310;006070084
6000067;006070062
6000068;006089506
6010043;006070063
6000069;006070065
6000070;006070066
6000071;006089806
6000072;006089906
6000073;006070067
6000074;006070068
6010046;006070069
6010045;006070070
6010047;006070071
6010054;006090004
6010052;006070075
6000092;006092315
6010053;006070077
6000076;006090306
6010056;006070079
6000077;006070080
6000078;006070081
6000079;006090506
6000080;006090606
6000081;006090706
6000082;006091006
6000083;006091206
6000084;006070082
6000085;006091306
6000086;006091406
6000087;006091706
6000088;006070083
6000005;006070002
6000036;006070025
6000037;006070040
6000038;006070061
6010008;006070018
6000061;006000061
6010006;006010006
6010013;006010013
6010021;006010021
6010024;006010024
6010025;006010025
6010028;006010028
6010034;006010034
6010044;006010044
6010048;006010048
6010049;006010049
6010050;006010050
6010055;006010055
6010061;006010061
6010067;006010067
6010051;006070076
6100007;006092307
6100004;006070018
6100005;006070020
6100008;006070039
6010068;006090868
